"Rank","Country","Data","Notes"
"1","San Marino","1,263","2014"
"2","Monaco","899","2014"
"3","United States","797","2014"
"4","Liechtenstein","750","2014[1] [2]"
"5","Iceland","745","2014"
"6","Luxembourg","739","2014"
"7","Australia","736","2016"
"8","New Zealand","712","2014"
"9","Malta","693","2014"
"10","Italy","679","2014"
"11","Guam","677","2014"
"12","Canada","662","2014"
"13","Greece","624","2010"
"14","Finland","612","2011"
"15","Spain","593","2014"
"16","Japan","591","2014"
"17","Norway","584","2014"
"18","Austria","578","2014"
"19","France","578","2014"
"20","Germany","572","2014"
"21","Slovenia","567","2011"
"22","Switzerland","566","2011"
"23","Lithuania","560","2010"
"24","Belgium","559","2010"
"25","Portugal","548","2010"
"26","Poland","537","2014"
"27","Bahrain","537","2009"
"28","Qatar","532","2007"
"29","Cyprus","532","2010"
"30","Netherlands","528","2010"
