Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,2,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,19656803,,,0
H4,2012,2012,2012,2,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,359083333,,,0
H4,2012,2012,2012,2,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,11819471,,,0
H4,2012,2012,2012,2,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,23126753,,,0
H4,2012,2012,2012,2,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,10746126,,,0
H4,2012,2012,2012,2,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,271601799,,,0
H4,2012,2012,2012,2,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,593481730,,,0
H4,2012,2012,2012,2,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,1808523397,,,0
H4,2012,2012,2012,2,0,1,Import,60,Bermuda,BMU,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,10736431,,,0
H4,2012,2012,2012,2,0,1,Import,64,Bhutan,BTN,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,8493827,,,0
H4,2012,2012,2012,2,0,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,1752035,,,0
H4,2012,2012,2012,2,0,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,40039041,,,0
H4,2012,2012,2012,2,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,635484971,,,0
H4,2012,2012,2012,2,0,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,108931217,,,0
H4,2012,2012,2012,2,0,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,93781700,,,0
H4,2012,2012,2012,2,0,1,Import,116,Cambodia,KHM,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,1858519,,,0
H4,2012,2012,2012,2,0,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,2491879202,,,0
H4,2012,2012,2012,2,0,1,Import,152,Chile,CHL,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,81421510,,,0
H4,2012,2012,2012,2,0,1,Import,156,China,CHN,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,2406864845,,,0
H4,2012,2012,2012,2,0,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,183598615,,,0
H4,2012,2012,2012,2,0,1,Import,188,Costa Rica,CRI,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,55704057,,,0
H4,2012,2012,2012,2,0,1,Import,191,Croatia,HRV,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,94286036,,,0
