STN,YYYYMMDD,  FXX,   TX,   NG
  269,20140101,  160,   89,    6
  269,20140102,  130,  104,    5
  269,20140103,  220,  114,    6
  269,20140104,  150,   93,    6
  269,20140105,  130,   78,    5
  269,20140106,  160,  138,    7
  269,20140107,  160,  115,    7
  269,20140108,  140,   98,    7
  269,20140109,  210,  117,    8
  269,20140110,  110,   88,    5
  269,20140111,  160,   74,    6
  269,20140112,   80,   64,    2
  269,20140113,  130,   90,    4
  269,20140114,   70,   83,    6
  269,20140115,  110,   61,    8
  269,20140116,  100,   87,    6
  269,20140117,  110,   87,    7
  269,20140118,   70,   92,    6
  269,20140119,  100,   75,    7
  269,20140120,   70,   56,    8
  269,20140121,   30,   43,    8
  269,20140122,   90,   48,    7
  269,20140123,   80,   46,    8
  269,20140124,   70,   52,    8
  269,20140125,  130,   58,    8
  269,20140126,  150,   63,    7
  269,20140127,  140,   57,    7
  269,20140128,  140,   72,    4
  269,20140129,  130,   18,    5
  269,20140130,   90,   21,    6
  269,20140131,  140,   62,    4
  269,20140201,  140,   81,    6
  269,20140202,  120,   78,    3
  269,20140203,   80,   76,    2
  269,20140204,  110,   93,    4
  269,20140205,  170,   99,    6
  269,20140206,  150,   98,    6
  269,20140207,  200,   99,    7
  269,20140208,  170,   87,    6
  269,20140209,  220,   71,    6
  269,20140210,   90,   74,    7
  269,20140211,  180,   78,    7
  269,20140212,  220,   89,    6
  269,20140213,  160,   73,    5
  269,20140214,  180,   94,    5
  269,20140215,  240,  125,    7
  269,20140216,  170,   89,    4
  269,20140217,   80,   97,    6
  269,20140218,   80,   84,    8
  269,20140219,   90,   99,    8
  269,20140220,  130,   99,    7
  269,20140221,  130,   95,    5
  269,20140222,  120,   99,    4
  269,20140223,  150,  111,    3
  269,20140224,  120,  121,    2
  269,20140225,  120,  112,    6
  269,20140226,   90,  108,    4
  269,20140227,  150,   84,    5
  269,20140228,   70,   80,    7
  269,20140301,   60,   79,    7
  269,20140302,  130,   97,    5
  269,20140303,  120,   82,    5
  269,20140304,   70,  111,    4
  269,20140305,   50,  115,    4
  269,20140306,  100,  127,    5
  269,20140307,  110,  118,    4
